,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
RATIO_HELP,This means buying metals is r times more expensive than it is to sell them.,,,这意味着购买金属比卖掉金属贵 r 倍,Das Bedeutet das der Kauf von Metallen ist r mal teurer als sie zu verkaufen.,Esto significa que comprar metales es r veces más costoso que venderlos.,,,"Ez azt jelenti, hogy r-szer drágábban lehet fémeket venni az eladási árnál.",つまり、金属を買うのは売るのよりもr倍高いのです。,Dit wil zeggen dat metalen kopen r keer duurder is dan ze verkopen.,
DIM_JUST_RESET_INFO,"Invest your DRs and make changes to this dimension (math formulas, laws of physics etc.), then hit the ""%s"" button.",,,"投入DR点来改变维度（数学公式，物理公式等），然后点击 ""%s"" 按钮","Investiere deine DR um diese Dimension zu verändern(Naturgesetze, Mathematische Formulare usw.), dann drücke ""%s"".","Invierte tus DRs y haz cambios a esta dimensión (formulas mátematicas, leyes de la fisica etc), luego haz clic en el botón ""%s%""",,,"Fektesd be a DM-okat a különböző dimenziótulajdonságokba (matematikai képletek, fizikai törvények, stb), aztán kattints a ""%s"" gombra.",DRを投資して、この次元に変更を加え（数学の公式、物理法則など）、「%s」ボタンを押す。,"Investeer je DRs en pas deze dimensie aan (wiskundige formules, fysische wetten, etc.), en druk vervolgens op de ""%s"" knop.",
GENERATE_STARTING_UNIVERSE,Generate starting universe,,,生成一个新的宇宙,Beginne Universumserzeugung,Genera universo inicial,,,Kezdőuniverzum generálása,スターティングユニバースの生成,Genereer eerste universum,
GENERATE_STARTING_UNIVERSE_CONFIRM,You won't be able to modify anything dimension-related anymore until your next reset. Continue?,,,在下一个重置之前你将无法修改本页面的内容，是否继续？,Du wirst nichts im Bezug auf universen mehr  bis zum nächsten Reset verändern können. Weiter ?,"No serás capaz de modificar nada relacionado a la dimensión hasta tu próximo reinicio, deseas continuar?",,,Nem tuddsz semmi dimenziós adatot megvátloztatni a következő dimenziós újrakezdésig. Folytatod?,次回のリセットまで、ディメンションに関する変更は一切できなくなります。続ける？,Je zal geen verdere aanpassingen aan de dimensie kunnen maken tot je volgende reset. Verdergaan?,
BASE_COST_MULT,Base cost multiplier,,,最佳消费倍率,Grundkostenmultiplikator,Multiplicador de costo base,,,Alapárszorzó,ベースコスト倍率,Basis kost vermenigvuldiger,
BASE_COST_MULT_DESC,"Multiplies the costs of buildings, megastructures and gigastructures by this value.",,,建筑开销和巨型结构的开销将乘以这个数值,"Multipliziert die Kosten von Gebäuden, Megastrukturen und Gigastrukturen um diesen wert.","Multiplica el costo de estructuras, megaestructuras y gigaestructuras por este valor.",,,Megszorozza auz épületek és megastruktúrák árát ennyivel.,ビル、メガストラクチャー、ギガストラクチャーのコストをこの値で掛け合わせる。,"Vermenigvuldigt de kosten van gebouwen, megagebouwen, en gigastructuren met deze waarde.",
PICKAXE_SPEED_MULT,Pickaxe speed multiplier,,,矿镐速度加成,Spitzhacken geschwindikeit multiplikator,Multiplicador de velocidad del pico,,,Bányászsebességszorzó,つるはし速度倍率,Pikhouweel snelheid vermenigvuldiger,
ROVER_STAT_MULT,Rover stats multiplier,,,矿车属性加成,Rovereigenschaften multiplikator,Multiplicador de las estadisticas del rover,,,Róverstatisztikaszorzó,ローバーのステータスの倍率,Rover eigenschappen vermenigvuldiger,
DO_ENGINEERING,Do some engineering,,,做点工程,Etwas Maschinenbau,Haz un poco de ingeniería,,,Mérnökölj egy kicsit,エンジニアリングをする,Doe wat ingenieurswerk,
ENABLE_SCREEN_SHAKE,Enable screen shake,,,启用屏幕震动,Screen shake aktivieren,Activa el movimiento de pantalla,,,Képernyőrázás bekapcsolása,画面ブレを有効にする,Schermschudden inschakelen,
DRS_PER_CLICK,DRs invested per click:,,,,DR pro klick investiert,DRs invertidos por click:,,,DM-ok befekttése kattintásonként,クリックごとに投資するDR。,DRs uitgegeven per klik:,
INVEST_X,Invest %s,,,投入 %s,%s Investieren,Invertir %s,,,%s befektetése,%sを投資,Investeer %s,
ACHIEVEMENTS,Achievements,,,成就,Erfolge,Logros,,,Eredmények,実績,Prestaties,Достижения
STATISTICS,Statistics,,,数据统计,Statistiken,Estadísticas,,,Statisztikák,統計情報,Statistieken,Статистика
FIND_2ND_SHIP,Find the 2nd ship,,,找到第二艘飞船,Finde das 2. Schiff,Encuentra la segunda nave,,,Találd meg a második hajót,2隻目の艦船を探す,Vind het tweede schip,
FIND_3RD_SHIP,Find the 3rd ship,,,找到第三艘飞船,Finde das 3. Schiff,Encuentra la tercera nave,,,Találd meg a harmadik hajót,3隻目の艦船を探す,Vind het derde schip,
FIND_4TH_SHIP,Find the 4th ship,,,找到第四艘飞船,Finde das 4. Schiff,Encuentra la cuarta nave,,,Találd meg a negyedik hajót,4隻目の艦船を探す,Vind het vierde schip,
FIND_CLASS_X_STAR,Find a class %s star,,,找到等级 %s 的恒星,Finde einen Klasse %s Stern,Encuentra una estrella clase %s,,,Találj egy %s osztályú csilllagot,クラス%sスターを探す,Vind een klasse %s ster,
REACH_CENTER_OF_PLANET,Reach the center of a planet in mining (and see what happens...),,,在挖矿中达到星球的中心,Erreiche den Kern eines Planeten (und erfahre die Konsequenzen),Alcanza el centro de un planeta en minería,,,"Érd el egy bolygó közeopét bányászás közben (és tudd meg, hogy mi történik ott...)",採掘で惑星の中心に到達する（どうなるか...）。,Bereik het centrum van een planeet tijdens het delven (en ontdek de gevolgen...),
BUILD_X_BUILDINGS,Build %s buildings,,,建筑量： %s,Konstruiere %s Gebäude,Construye %s edificios,,,Építs %s épületet,%s棟のビルを建設,Bouw %s gebouwen,
BUILD_A_MS,Build a megastructure,,,建造一个巨型结构,Baue eine Megastruktur,Construye una megaestructura,,,Építs egy megastruktúrát,メガストラクチャーを構築する,Bouw een megagebouw,
BUILD_A_GS,Build a gigastructure,,,建造一个超巨型结构,Baue eine Gigastruktur,Construye una gigaestructura,,,Építs egy gigastruktúrát,ギガストラクチャーの構築,Bouw een gigastructuur,
DISCOVER_NEW_UNIV,Discover a new universe for the first time,,,第一次发现一个新宇宙,Entdecke ein neues Universum,Descubre un nuevo universo por primera vez,,,Fedezz fel egy új univerzumot,新しい宇宙を初めて発見する,Ontdek voor het eerst een nieuw universum,
RENEW_DIMENSION,Renew your dimension for the first time,,,第一次重置你的维度,Eneuere deine Dimension das erste Mal,Renueva tu dimensión por la primera vez,,,Újitsd meg a dimenziódat,初めて次元を更新する,Vernieuw voor het eerst je dimensie,
CLEAR_OUT_CAVE_FLOOR,"Completely clear out a cave floor: mine everything, loot every chest and get rid of all enemies",,,清理一层山洞，挖出所有东西，收获所有战利品，清理所有敌人,"Schließe einen Höhle ab: Baue alles ab, öffne jede Kiste und töte alle Feinde","Vacía un piso entero de cueva: mina todo, saquea cada cofre y deshazte de todos los enemigos",,,"Teljesen tisztíts ki egy barlangszintet: bányássz ki mindent, győzd le az összes ellenségte, és szedd össze az összes kincset",洞窟の床を完全に掃除する：すべてのものを採掘し、すべての宝箱を略奪し、すべての敵を排除する。,"Ontruim een grotniveau volledig: delf alles, maak alle kisten buit en vernietig alle vijanden",
BUILD_TRI_PROBE_IN_SLOW_UNIV,Build a triangulum probe in a universe with a time speed of 0.2 or lower,,,在0.2倍时间流速下制造一个三级探测器,"Baue eine triangulum Sonde in einem Universum mit einer Zeitgeschwindikeit von max 0,2",Construye una sonda de triangulación en un universo con una velocidad temporal de 0.2 o menos,,,"Építs egy triangulumszondát egy 0,2 vagy kisebb idősebességű univerzumban",時間速度が0.2以下の宇宙で三角波探査機を作る。,Bouw een triangulum-sonde in een universum met tijdsnelheid 0.2 of lager,
USE_STICK_TO_MINE_FROM_SURFACE_TO_CORE,Use a stick to mine from the surface of a planet to the core in one swing,,,使用木棍挖一次便从一个星球的表面挖到核心,Erreiche mit nur einem Stock als Spitzhacke von der Oberfläche des Planeten aus den Kern ,Usa un palo para minar desde la superficie de un planeta al núcleo en un sólo movimiento,,,Egy ütéssel bányássz le egy bolygó közepéig egy bottal,棒を使って、惑星の表面から核まで一振りで採掘する,Gebruik een stok om in één slag van het oppervlak tot de kern van een planeet te graven.,
REKT_ENEMY_30_LEVELS_HIGHER,"In battle, knock out an enemy 30 levels higher than your highest-level ship",,,战斗中打败一个高于你最高级别飞船30级的敌人,Zerstöre ein Schiff 30 Level über deinem höchsten,"En una batalla, derrota un enemigo 30 niveles más alto que tu nave de nivel más alto",,,"Győzz le egy harcban egy olyan ellenséget, aminejk a szintje 30-cal magasabb, mint a legmagasabb szintű hajódé",戦闘中、自分の最高レベル機より30レベル高い敵を倒した場合,Schakel tijdens een gevecht een vijand uit die 30 levels hoger is dan je sterkste schip,
1000_YEAR_JOURNEY,Send your ships to a 1000 year (or longer) journey,,,将你的飞船飞往1000光年外,Schicke deine Schiffe auf eine Reise von über 1000 Lichtjahren,Envía tus naves a un viaje de 1000 años (O más),,,Küldd el a hajóidat egy ezeréves (vagy hosszabb) útra,1000年（またはそれ以上）の旅に艦船を出す,Stuur je schepen op een reis van 1000 jaar (of langer),
FIND_X_PLANET_SYSTEM,Find a star system with %s planets or more,,,发现一个星系拥有 %s 个星球或者更多,Finde ein Sternensystem mit mindestens %s Planeten,Encuentra un sistema solar con %s planetas o más,,,Taláj egy naprendszert %s vagy több bolygóval,%s個以上の惑星を持つ星系を探す,Vind een systeem met %s of meer planeten,
FIND_HYPERGIANT_STAR,Find a hypergiant star,,,发现一个超巨星,Find einen Hypergigantenstern,Encuentra una estrella hipergigante,,,Találj egy hiperóriás csillagot,極超巨星を探す,Vind een hyperreus,
FIND_HYPERGIANT_X_STAR,Find a hypergiant %s star or bigger,,,发现一个 %s 超巨星或者更大,Find einen Klasse %s Hypergigantenstern oder größer,Encuentra una estrella hipergigante de %s o más grande tamaño,,,Találj egy hiperóriás %s vagy nagyobb csillagot,極超巨星%s以上の星を探す,Vind een hyperreus %s of groter,
FULLY_CONQUER_SYSTEM,Fully conquer a star system,,,征服一个恒星系,Nimm ein Sternensystem vollständig ein,Conquista un sistema solar completo,,,Foglalj el teljesen egy naprendszert,星系を完全制覇する,Verover een volledig sterrenstelsel,
FULLY_CONQUER_GALAXY,Fully conquer a galaxy,,,征服一个星系,Nimm eine Galaxie vollständig ein,Conquista una galaxia completa,,,Foglalj el teljesen egy galaxist,銀河系を完全制覇する,Verover een volledig heelal,
FULLY_CONQUER_CLUSTER,Fully conquer a cluster,,,征服一个星团,Nimm ein Cluster vollständig ein,Conquista un clúster completo,,,Foglalj el teljesen egy halmazt,銀河団を完全制覇する,Verover een volledige cluster,
CONQUEST,Conquest,,,征服,Eroberung,Conquista,,,Elfoglalás,征服,Verovering,Завоевание
EXPLORATION,Exploration,,,探索,Erkundung,Exploración,,,Felfedezés,エクスプロレーション,Verkenning,Исследование
PROGRESSION,Progression,,,进度,Fortschritt,Progresión,,,Haladás,プログレッション,Voortgang,Прогресс
RANDOM,Random,,,随机,Zufall,Aleatorio,,,Mindenféle,ランダム,Willekeurig,Случайно
BUILDINGS,Buildings,,,建筑,Gebäude,Construcciones,,,Épületek,建物,Gebouwen,Постройки
GENERAL,General,,,一般,Allgemeines,General,,,Általános,一般,Algemeen,
TOTAL_MONEY_EARNED,Total money earned,,,赚钱量,Geld verdient,Cantidad total de dinero obtenido,,,Összes szerzett pénz,総収入金額,Totaal geld verdiend,Общая заработанная сумма
PLANETS_CONQUERED,Planets conquered,,,星球征服数目,Planeten Eingenommen,Planetas conquistados,,,Elfoglalt bolygók,征服した惑星,Planeten veroverd,Планет захвачено
GALAXIES_CONQUERED,Galaxies conquered,,,星系征服数目,Galaxien Eingenommen,Galaxias conquistadas,,,Elfoglalt galaxisok,征服した銀河系,Heelallen veroverd,Галактик захвачено
ENEMIES_REKT_IN_BATTLE,Enemies knocked out in battle,,,战斗中消灭的敌人,Gegner getötet im Kampf,Enemigos derrotados en batalla,,,Ellenségek kiütve harcban,戦闘で倒した敵,Vijanden verslagen in gevechten,
ENEMIES_REKT_IN_CAVES,Enemies knocked out in caves,,,洞穴中消灭的敌人,Gegner getötet in Höhlen,Enemigos derrotados en cuevas,,,Ellenségek kiütve barlangokban,洞窟で倒した敵,Vijanden verslagen in grotten,
CHESTS_LOOTED,Chests looted,,,箱子已打开,Kisten geöffnet,Cofres abiertos,,,,回収したチェスト,Kisten buitgemaakt,Открыто сундуков
TILES_MINED_MINING,Tiles mined in mining,,,挖矿中挖开的土块,Felder abgebaut im Bergbau,Casillas excavadas en minas,,,,惑星で採掘したタイル,Velden gedolven op planeten,
TILES_MINED_CAVES,Tiles mined in caves,,,山洞中挖开的土块,Felder abgebaut in Höhlen,Casillas excavadas en cuevas,,,,洞窟で採掘した壁,Velden gedolven in grotten,
STAR_CLASSES,Star classes,,,恒星等级,Sternenklassen,Clases de estrellas,,,Csillagosztályok,スタークラス,Sterklassen,
STAR_TYPES,Star types,,,恒星类型,Sternentypen,Tipos de estrellas,,,Csillagtípusok,星型,Stertypes,
ACHIEVEMENTS_EARNED,Achievements earned,,,成就完成,Erreichte Erfolge:,Logros obtenidos,,,,獲得した実績,Prestaties verdiend,
FIND_X_CRATER,Find a %s crater,,,发现一个 %s 矿坑,Finde einen %skrater,Encuentra un cráter de %s,,,Találj egy %skrátert,%sクレーターを探す,Vind een %s krater,
SHOW_STATS_FOR,Show statistics for %s,,,显示 %s 数据,Statistik anzeigen für %s,Muestra estadisticas para %s,,,Statisztikák mutatása erre:,%sの統計情報を表示する,Toon statistieken voor %s,
THIS_UNIVERSE,This universe,,,这个宇宙,Dieses Universum,Este universo,,,Ez az univerzum,この宇宙,Dit universum,Эта вселенная
THIS_DIMENSION,This dimension,,,这个维度,Diese Dimension,Esta dimensión,,,Ez a dimenzió,この寸法,Deze dimensie,Это измерение
THIS_SAVE,This save,,,这个存档,Diesen Speicherstand,Esta partida,,,Ez a játék,このセーブ,Dit spel,Это сохранение
RECORDS,Records,,,记录,Rekorde,Récords,,,Rekordok,記録,Records,Рекорды
BIGGEST_PLANET_DIAMETER,Biggest planet diameter,,,最大星球直径,Größter Planetendurchmesser,Planeta con el diámetro más grande,,,Legnagyobb bolygó átmérője,最大の惑星直径,Grootste planeetdiameter,Самый большой диаметр планеты
HIGHEST_AURORA_INTENSITY,Highest aurora intensity,,,最高的极光密度,Intensievste Polarlichter ,Aurora con la mayor intensidad,,,Legmagasabb auróraintenzitás,オーロラ強度最高値,Hoogste auroraintensiteit,
ZOOM,Zoom,,,缩放,Zoom,Zoom,,,Nagyítás,ズーム,Zoom,
ACHIEVEMENT_EARNED,Achievement earned!,,,成就解锁！,Erfolg erreicht!,¡Logro obtenido!,,,,アチーブメント獲得!,Prestatie verdiend!,Получено достижение!
PORTABLE_WORMHOLE,Portable wormhole,,,快速虫洞,Bewegliches Wurmloch,Agujero de gusano portable,,,Hordozható féreglyuk,ポータブルワームホール,Draagbaar wormgat,Портативная червоточина
PORTABLE_WORMHOLE_DESC,Instantly teleport out of a cave.\nOnly works up to floor %s.,,,瞬间传送到山洞外 %s,Teleportiert dich sofort aus einer Höhle heraus. %s,Instantaneamente te teletransporta fuera de una cueva. %s,,,Azonnal kiteleportál egy barlangból. %s,洞窟から瞬時にテレポートする。 %s,Teleporteer onmiddelijk uit een grot. %s,Мгновенно телепортирует из пещеры. %s
DRILL,Drill,,,挖,Bohrer,Taladro,,,Fúró,ドリル,Boor,Бур
DRILL_DESC,Drills a hole right where your rover stands.\nCannot drill further than floor %s.,,,在你的矿车所在的地方钻一个洞。%s,Gräbt ein Loch wo dein Rover steht. %s,Perfora un agujero dónde tu rover está parado. %s,,,Fúr egy lyukat a róvered helyére. %s,ローバーが立っている場所に穴を開ける。 %s,Boort een gat recht onder je rover. %s,"Бурит отверстие прямо в том месте, где стоит ваш ровер. %s"
CR_CAVE_DESC,Consumables you can use in caves.,,,在洞穴中你可以使用的消耗品,Items für den gebrauch in Höhlen.,Consumibles los cuales puedes usar dentro de cuevas.,,,,洞窟で使用できる消耗品。,Items die je in grotten kan gebruiken.,"Расходные материалы, которые можно использовать в пещерах."
CLICK_ON_ROVER_TO_GIVE,Click on a rover to give it this item,,,点击一个矿车来使用这个物品,Klicke auf einen Rover um das Item zu geben,Haz clic en un rover para darle este objeto,,,"Kattints egy róverre, hogy neki add ezt",ローバーをクリックすると、この項目が表示されます。,Klik op een rover om het dit item te geven,"Нажмите на ровер, чтобы передать ему этот элемент"
ROVERS_INV_FULL,This rover's inventory is full!,,,这个矿车的物品栏已满,Das Inventar des Rovers ist Voll!,¡El inventario de este rover está lleno!,,,A róver inventára tele van!,このローバーの在庫は満杯です,Het inventaris van deze rover is vol!,Инвентарь этого ровера заполнен!
BLDGS_BUILT,Buildings built,,,建筑完成,Gebäude errichtet,Construcciones completadas,,,Épületek építve,建築物,Gebouwen afgewerkt,
ITEMS_SENT_TO_ROVER,Items sent to rover!,,,物品已装载,Items dem Rover übergeben,Objetos enviados al rover!,,,,ローバーにアイテムが送られた!,Items naar rover overgebracht!,
PC_NAME,Proton collector,,,质子收集器,Protonensammler,Recolector de protones,,,Protongyüjtő,プロトンコレクター,Protonverzamelaar,
NC_NAME,Neutron collector,,,中子收集器,Neutronensammler,Recolector de neutrones,,,Neutrongyűjtő,中性子集光装置,Neutronverzamelaar,
EC_NAME,Electron collector,,,电子收集器,Elektronensammler,Recolector de electrones,,,Elektrongyűjtő,電子コレクター,Elektronverzamelaar,
PC_DESC,Collects protons from cosmic rays. Speed of collection is [color=red]inversely[/color] proportional to atmospheric pressure.,,,从宇宙射线中收集质子。 收集速度 [color=red] 与大气压力成反比 [/color]。,Sammelt Protonen aus Kosmischer Strahlung. Sammlungsgeschwindigkeit ist [color=red]invers[/color] zum Atmosphärendruck,Extrae protones de rayos cósmicos. La velocidad de extracción es [color=red]inversamente[/color] proporcional a la presión atmosférica.,,,Protonokat gyűjt kozmikus sugarakból. Sebessége [color=red]fordítottan[/color] arányos a légnyomással.,宇宙線から陽子を集める。収集の速度は気圧に[color=red]反比例[/color]する。,Verzamelt protonen uit kosmische straling. Verzamelsnelheid is [color=red]omgekeerd[/color] evenredig met de atmosferische druk.,
NC_DESC,Collects neutrons from cosmic rays. Speed of collection is [color=red]inversely[/color] proportional to atmospheric pressure.,,,从宇宙射线中收集中子。 收集速度 [color=red] 与大气压力成反比 [/color]。,Sammelt Neutronen aus Kosmischer Strahlung. Sammlungsgeschwindigkeit ist [color=red]invers[/color] zum Atmosphärendruck,Extrae neutrones de rayos cósmicos. La velocidad de extracción es [color=red]inversamente[/color] proporcional a la presión atmosférica.,,,Neutronokat gyűjt kozmikus sugarakból. Sebessége [color=red]fordítottan[/color] arányos a légnyomással.,宇宙線から中性子を収集する。収集の速度は気圧に[color=red]反比例[/color]する。,Verzamelt neutronen uit kosmische straling. Verzamelsnelheid is [color=red]omgekeerd[/color] evenredig met de atmosferische druk.,
EC_DESC,Collects electrons from auroras. Speed of collection is proportional to their intensity.,,,从极光中收集电子。 收集速度与它们的强度成正比。,Sammelt Elektronen aus Polarlichtern.Sammelgeschwindigkeit is proportional zur Intensität.,Extrae electrones de auroras. La velocidad de extracción es proporcional a su intensidad.,,,Elektronokat gyűjt az aurórákból. Sebessége az intenzitásuktól függ.,オーロラから電子を収集する。収集の速度は強度に比例する。,Verzamelt elektronen uit auroras. Verzamelsnelheid is evenredig met de intensiteit van de aurora.,
EC_ERROR,This building can only be built under auroras.,,,此建筑只能在极光下建造,Dieses Gebäude kann nur unter Polarlichter gebaut werden.,Este edificio sólo puede ser construido bajo una aurora.,,,Ezt csak aurórák alá lehet építeni.,この建物はオーロラの下でしか建てられない。,Dit gebouw kan enkel onder auroras geplaats worden.,
COLLECTS_X,Collects %s,,,收集 %s,Sammelt %s,Extrae %s,,,Gyűjt: %s,%sを収集,Verzamelt %s,
USER_INPUT,User input,,,用户输入数据,Persönliches,Acción del usuario,,,Felhasznjálói bevitel,ユーザー入力,Speler input,
NUMBER_OF_CLICKS,Number of clicks,,,左键点击次数,Anzahl an Klicks,Número de clics,,,Kattintások száma,クリック数,Aantal muisklikken,
NUMBER_OF_RIGHT_CLICKS,Number of right clicks,,,右键点击次数,Anzahl an Rechtsklicks,Número de clics derechos,,,Jobbkattintások száma,右クリック数,Aantal rechtermuisklikken,
NUMBER_OF_SCROLLS,Number of scrolls with the scroll wheel,,,滚轮滑动次数,Gescrollte menge,Número de vueltas con la rueda del ratón,,,Gorgetések száma,スクロールホイールによるスクロール数,Aantal scrolls met het muiswiel,
DISTANCE_TRAVELLED_WITH_MOUSE,Distance travelled with mouse,,,鼠标滑动距离,Distanz mit der Maus zurückgelegt,Distancia viajada con el ratón,,,Egérrel megtett távolság,マウスによる移動距離,Afstand afgelegd met de muis,
PIXELS,Pixels,,,像素,Pixel,Pixeles,,,pixel,画素数,Pixels,
KEYBOARD_PRESSES,Number of keyboard presses,,,键盘按下次数,Menge an Tastaturanschlägen,Número de teclas del teclado presionadas,,,Billentyúnyomások száma,キーボードの押下回数,Aantal toetsaanslagen,
NSF_NAME,Neutron storage facility,,,中子存储设施,Neutronenlager,,,,Neutrontároló,中性子貯蔵施設,Neutronopslag,
NSF_NAME_S,Neutron storage facilities,,,中子存储设施,Neutronenlager,,,,Neutrontárolók,中性子貯蔵施設,Neutronopslagfaciliteiten,
ESF_NAME,Electron storage facility,,,电子存储设施,Elektronenlager,,,,Elektrontároló,電子記憶装置,Elektronopslag,
ESF_NAME_S,Electron storage facilities,,,电子存储设施,Elektronenlager,,,,Elektrontárolók,電子記憶装置,Elektronopslagfaciliteiten,
NSF_DESC,Stores neutrons.,,,中子存储量,Gelagerte Neutronen,,,,Neutronokat tárol.,中性子を貯める。,Slaat neutronen op.,
ESF_DESC,Stores electrons.,,,电子存储量,Gelagerte Elektronen,,,,Elektronokat tárol.,電子を格納する。,Slaat elektronen op.,
RSRC_MINED_THIS_SESSION,Resources mined this session,,,本次挖出的矿物,Ressourcen in dieser Sitzung abgebaut,,,,Kitermelt anyagok ebben a menetben,このセッションで採掘した資源,Grondstoffen gedolven deze sessie,
X_MINUTE_SPEEDUP,%s-minute speed-up,,,加速 %s 分钟,%s-Minuten Beschleunigung,,,,%s perces gyorsítás,%s分スピードアップ,%s-minuten versnelling,
X_HOUR_SPEEDUP,%s-hour speed-up,,,加速 %s 小时,%s-Stunden Beschleunigung,,,,%s órás gyorsítás,%s時間スピードアップ,%s-uren versnelling,
X_DAY_SPEEDUP,%s-day speed-up,,,加速 %s 天,%s-Tage Beschleunigung,,,,%s napos gyorsítás,%s日スピードアップ,%s-dagen versnelling,
AVERAGE_ENEMY_DAMAGE,Average enemy damage,,,敌人平均伤害,Schaden ,,,,Ellenségek átlagos sebzése,敵の平均ダメージ,Gemiddelde schade van vijanden,
PLANET_PRESSURE_TOO_HIGH,This planet has an atmospheric pressure so high that your ships won't be able to escape the planet with the amount of energy you're producing.\nEither build more energy generators or research space elevators.,,,这颗行星的气压如此之高，以至于你的飞船无法以你所产生的能量逃离这个星球。\n要么建造更多的能量发生器，要么研究太空电梯。,Die Atmosphäre des Planeten verhindert das abheben deiner Schiffe mit der Energie die du Produzierst.\nBaue Mehr Kraftwerke oder erforsche Weltraumaufzüge.,,,,"Ennek a bolygónak olyan nagy a légnyomása, hogy a hajóid nem fognak tudni kijutni a mostani energiatermeléseddel.\nVagy építs több erőművet, vagy építs űrliftet.",この惑星は気圧が高いので、エネルギー生産量では艦船が脱出できません。\nエネルギー発生装置を増設するか、宇宙エレベーターを研究するか、どちらかです。,"De atmosferische druk op deze planeet is zo hoog dat je schepen niet zullen kunnen ontsnappen met je huidige energieproductie.\nBouw een ruimtelift, of verhoog je energieproductie.",
SHIFT_CLICK_TO_BRIDGE_HOLE,Shift click to bridge this hole,,,Shift + 鼠标点击来填埋这个洞,Shift Klick um das loch zu überbrücken.,,,,Shift+kattints a lyuk áthidalásához,Shiftキーを押しながらクリックすると、この穴を埋めることができます。,Shift klik om dit gat te dichten,"Нажмите Shift, чтобы закрыть это отверстие"
CLICK_TO_BUY_SELL,Click on one of the icons above to buy or sell that resource.,,,单击上面的图标之一以购买或出售该资源。,Klicke auf eines der Symbole oben um diese Resource zu Handeln.,,,,Kattints az egyik efeletti ikonra azon alapanyag eladásához vagy vételéhez.,上のアイコンをクリックすると、そのリソースを売買することができます。,Klik op een van de bovenstaande iconen om een grondstof te (ver)kopen.,
ICON_ANIMATIONS,Resource icon animations,,,资源图标动画,Ressourcensymbol Animationen,,,,Ikonanimációk,リソースアイコンアニメーション,Grondstof icoon animaties,
SELECTED_X_BLDGS,(selected %s buildings),,,(选择了%s 个建筑),(%s Gebäude ausgewählt),,,,(%s épület kiválasztva),(%s棟を選択),(%s gebouwen geselecteerd),
NEUTRON_STORAGE,Neutron storage,,,中子仓库,Neutronenlager,,,,Neutrontárolás,中性子記憶装置,Neutronopslag,
ELECTRON_STORAGE,Electron storage,,,电子仓库,Elektronenlager,,,,Elektrontárolás,電子記憶装置,Elektronopslag,
MS_CONSTRUCTED,Megastructures constructed,,,巨型结构已建设,Megastrukturenkonstruiert,,,,Megastruktúrák építve,メガストラクチャー建設,Megagebouwen gebouwd,
GREEN_ENEMY_HELP,Move your mouse to dodge attacks from green enemies!\n(click anywhere to continue),,,移动你的鼠标来躲避绿色敌人的攻击!\n(点击以继续),Bewege die Maus um den angriffen von Grün auszuweichen!\n(Klick um weiter zu spielen),,,,,マウスを動かして、緑の敵からの攻撃をかわそう！\n（続けるにはどこかをクリックしてください）,Beweeg je muis om aanvallen van groene vijanden te ontwijken!\n(Klik om verder te gaan),
DRILL_ERROR,The rover is unable to use drills in this mysterious cave!,,,矿车在这个神秘的洞穴中不能使用电钻,Der Rover kann in dieser Mysteriösen Höhle den Bohrer nicht benutzen.,,,,,謎の洞窟で探査機がドリル使用不能に!,De rover kan geen boor gebruiken in deze mysterieuze grot!,
DRILL_ERROR2,You're at the last floor!,,,你已经到达最后一层,Du bist auf der Untersten Ebene,,,,Az utolsó szinten vagy!,最終フロアに到着!,Je bent bij de laatste deur!,
CHOOSE_GAME_MODE,Choose game mode,,,选择游戏模式,Wähle einen Modus,,,,Játékmód kiválasztása,ゲームモードを選ぶ,Kies een spelmodus,Выберите режим игры
STORY,Story,,,故事模式,Story,,,,Történet,ストーリー,Verhaal,История
INCREMENTAL,Incremental,,,挂机模式,Incremental,,,,,インクリメンタル,Incremental,Свободная игра
WANDERING_SHIP,Wandering ship,,,飞船漫游,Umherziehendes Schiff,,,,Vándorló hajó,流浪の艦船,Dolend schip,
WANDERING_SHIP_DESC,"You spot a lone ship in the distance. It seems like it's headed somewhere, but you decide to seize the ship and take control of it.\nBad luck for the ship's owner.",,,你在远处发现了一艘孤船。 似乎它要去某个地方，但你决定抓住这艘船并控制它。\n船主运气不好。,Du erspähst ein einsammes Schiff in der Ferne. Es scheint ein Ziel zu verfolgen aber du Übernimmst es einfach.\nPech für den Rechtmäßigen Besitzer.,,,,,あなたは遠くに一隻の艦船を発見した。どこかに向かっているようだが、あなたはその艦船を奪い取って支配することにした。\n艦船の持ち主にとっては不運なことだ。,"Je ziet een eenzaam schip in de verte. Het lijkt ergens naartoe te gaan, maar je beslist het te onderscheppen en neemt de controle over.\nPech voor de eigenaar.",
BUILD_ALL_AT_ONCE,Build all stages at once,,,一次建设所有,Alle Stufen auf einmal bauen.,,,,Minden szint megépítése egyszerre,全ステージを一度に構築,Bouw alle stadia tegelijk,
LEFT_CLICK,Left click,,,左键,Linksklick,,,,Bal kattintás,左クリック,Linkermuisklik,Левый клик
RIGHT_CLICK,Right click,,,右键,Rechtsklick,,,,Jobb kattintás,右クリック,Rechtermuisklik,Правый клик
FG2_SC,Fighter MK2,,,星舰MK2,Fighter MK2,,,,,ファイターMK2,Jager MK2,Боец MK2
